month,expected_net,revenue,cash,ar_days,bill_lag_days,idr,denial_writeoff,bad_debt,underpayment_leak,charge_leak,labor_cost,ot_cost,total_cost,one_time_cost,scenario_run_cost,pxi,cxi,fte_total,total_touches,auto_touches,denied_claims,appealed_claims
1,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
2,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
3,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
4,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
5,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
6,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
7,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
8,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
9,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
10,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
